Wall time,Step,Value
1584851419.7469976,1,0.9335166811943054
1584851491.1109805,2,0.9704833626747131
1584851603.2212706,3,0.9785833358764648
1584851727.0700052,4,0.9816666841506958
1584851828.9681168,5,0.9848333597183228
1584851931.153814,6,0.9850833415985107
1584852040.2308524,7,0.98785001039505
1584852143.8076375,8,0.9890166521072388
1584852259.6805906,9,0.9899500012397766
1584852365.6853783,10,0.991100013256073
1584852468.9976823,11,0.9915500283241272
1584852580.9545507,12,0.9907333254814148
1584852690.0073972,13,0.9932500123977661
1584852808.141284,14,0.9930333495140076
1584852917.2290375,15,0.9926499724388123
1584853012.261585,16,0.9937333464622498
1584853119.8851514,17,0.9943833351135254
1584853249.4926643,18,0.994866669178009
1584853372.8869758,19,0.9954000115394592
1584853474.1733248,20,0.9951333403587341
1584853581.4377985,21,0.99836665391922
1584853692.040554,22,0.9998666644096375
1584853799.178154,23,0.9999833106994629
1584853906.3255997,24,0.9999833106994629
1584854007.6876283,25,1.0
1584854109.0962512,26,1.0
1584854231.2014985,27,1.0
1584854323.846976,28,1.0
1584854404.9269173,29,1.0
1584854486.7044923,30,1.0
1584854558.9233003,31,1.0
1584854634.3787534,32,1.0
1584854711.3076677,33,1.0
1584854784.8691075,34,1.0
1584854865.330026,35,1.0
1584854943.574188,36,1.0
1584855015.2531888,37,1.0
1584855088.9212365,38,1.0
1584855171.1721764,39,1.0
1584855243.5153508,40,1.0
1584855320.3599615,41,1.0
1584855394.9993513,42,1.0
1584855468.6257098,43,1.0
1584855547.266875,44,1.0
1584855620.4950452,45,1.0
1584855702.0835376,46,1.0
1584855774.0210967,47,1.0
1584855846.149195,48,1.0
1584855923.1231847,49,1.0
1584855995.1047869,50,1.0
1584856076.2796953,51,1.0
1584856144.2078927,52,1.0
1584856215.2301826,53,1.0
1584856287.3974912,54,1.0
1584856357.8875504,55,1.0
1584856431.5064695,56,1.0
1584856503.33715,57,1.0
1584856575.5212426,58,1.0
1584856648.8276458,59,1.0
1584856725.3576336,60,1.0
1584856796.6248748,61,1.0
1584856874.9606054,62,1.0
1584856946.6649408,63,1.0
1584857014.2365072,64,1.0
1584857083.570818,65,1.0
1584857153.9810228,66,1.0
1584857223.2372885,67,1.0
1584857290.9801009,68,1.0
1584857365.493976,69,1.0
1584857429.0724344,70,1.0
1584857506.6721961,71,1.0
1584857572.1837177,72,1.0
1584857641.6627843,73,1.0
1584857716.485989,74,1.0
1584857783.140105,75,1.0
1584857854.7195194,76,1.0
1584857921.204089,77,1.0
1584857993.3223236,78,1.0
1584858061.5081697,79,1.0
1584858133.74537,80,1.0
1584858194.0482922,81,1.0
1584858242.6745713,82,1.0
1584858286.0317097,83,1.0
1584858327.9802568,84,1.0
1584858366.7994888,85,1.0
1584858411.9040585,86,1.0
1584858455.8641021,87,1.0
1584858495.6236143,88,1.0
1584858536.6449327,89,1.0
1584858577.611029,90,1.0
1584858618.3421104,91,1.0
1584858656.9225185,92,1.0
1584858697.08552,93,1.0
1584858740.8645942,94,1.0
1584858779.6595435,95,1.0
1584858821.6018376,96,1.0
1584858862.9610283,97,1.0
1584858905.4029667,98,1.0
1584858952.163587,99,1.0
1584858982.1705618,100,1.0
