Wall time,Step,Value
1584851419.66304,1,0.2700512707233429
1584851491.110592,2,0.0957435891032219
1584851603.2209065,3,0.06771083921194077
1584851727.0696106,4,0.056805942207574844
1584851828.9677293,5,0.04773871600627899
1584851931.1534433,6,0.04483068361878395
1584852040.2304432,7,0.03725527599453926
1584852143.8072543,8,0.034230753779411316
1584852259.6802409,9,0.030979054048657417
1584852365.6850111,10,0.027676818892359734
1584852468.9973085,11,0.0251141507178545
1584852580.9541728,12,0.028526555746793747
1584852690.0070252,13,0.02043866366147995
1584852808.1408215,14,0.021694473922252655
1584852917.2286174,15,0.02332395315170288
1584853012.2612398,16,0.01895369216799736
1584853119.8847435,17,0.017388509586453438
1584853249.4922674,18,0.016637641936540604
1584853372.8866448,19,0.014802863821387291
1584853474.172856,20,0.01721792481839657
1584853581.4373791,21,0.004930758383125067
1584853692.0401726,22,0.0009436904801987112
1584853799.1776392,23,0.0005609078798443079
1584853906.3252723,24,0.0004087016568519175
1584854007.6872594,25,0.0003125368384644389
1584854109.095834,26,0.0002502166316844523
1584854231.201152,27,0.00020044013217557222
1584854323.8466244,28,0.00015187174722086638
1584854404.926565,29,0.00012653872545342892
1584854486.7040923,30,0.00010049238335341215
1584854558.9228873,31,7.891226414358243e-05
1584854634.378431,32,6.042399036232382e-05
1584854711.3073235,33,5.368323400034569e-05
1584854784.8687642,34,4.2355921323178336e-05
1584854865.3296547,35,5.5957967560971156e-05
1584854943.5737336,36,2.4460352506139316e-05
1584855015.2528243,37,1.8818993339664303e-05
1584855088.920858,38,1.4556478163285647e-05
1584855171.1717649,39,1.045892531692516e-05
1584855243.514996,40,9.209589734382462e-06
1584855320.3596175,41,6.040307653165655e-06
1584855394.9989564,42,5.6581347962492146e-06
1584855468.6253328,43,5.383196366892662e-06
1584855547.266521,44,5.1247825467726216e-06
1584855620.4946747,45,4.837808319280157e-06
1584855702.0831425,46,4.5964652599650435e-06
1584855774.0207376,47,4.285325758246472e-06
1584855846.1488144,48,3.997108706244035e-06
1584855923.1228523,49,3.698042291944148e-06
1584855995.1043522,50,3.397917453185073e-06
1584856076.2793272,51,3.129003289359389e-06
1584856144.207541,52,2.86429326479265e-06
1584856215.2298067,53,2.6010275178123266e-06
1584856287.3970804,54,2.425962748020538e-06
1584856357.8872085,55,2.181537865908467e-06
1584856431.5060914,56,2.042283540504286e-06
1584856503.336819,57,1.8781939843393047e-06
1584856575.520869,58,1.6996523299894761e-06
1584856648.8273115,59,1.5699982895966968e-06
1584856725.3572934,60,1.4443934333030484e-06
1584856796.6244562,61,1.2854000033257762e-06
1584856874.9602404,62,1.2695968507614452e-06
1584856946.6645422,63,1.2573003687066375e-06
1584857014.2361004,64,1.244876784767257e-06
1584857083.5703783,65,1.232431372955034e-06
1584857153.9805982,66,1.2214501339258277e-06
1584857223.236908,67,1.2077371138730086e-06
1584857290.9797077,68,1.1967956652370049e-06
1584857365.4935782,69,1.1847754421978607e-06
1584857429.072036,70,1.1737644172171713e-06
1584857506.6718488,71,1.1625587603703025e-06
1584857572.183299,72,1.1506934924909729e-06
1584857641.6623125,73,1.139690425588924e-06
1584857716.4855795,74,1.1287013421679148e-06
1584857783.139706,75,1.1177738770129508e-06
1584857854.719124,76,1.1071006156271324e-06
1584857921.2036047,77,1.0960857252939604e-06
1584857993.3218813,78,1.085797975974856e-06
1584858061.5077584,79,1.0754366712717456e-06
1584858133.744972,80,1.0651111779225175e-06
1584858194.0478745,81,1.0498424671823159e-06
1584858242.6742146,82,1.0486145356480847e-06
1584858286.0313585,83,1.0474800546944607e-06
1584858327.9799075,84,1.046530428538972e-06
1584858366.799104,85,1.0455091796757188e-06
1584858411.9036903,86,1.0445216958032688e-06
1584858455.8637223,87,1.043432916958409e-06
1584858495.6232295,88,1.0427196457385435e-06
1584858536.64454,89,1.0416467830509646e-06
1584858577.6106472,90,1.0407804893475259e-06
1584858618.3417528,91,1.0398625818197615e-06
1584858656.9221842,92,1.0388016562501434e-06
1584858697.0851755,93,1.0377426633567666e-06
1584858740.8641422,94,1.0368704579377663e-06
1584858779.659152,95,1.03559887065785e-06
1584858821.6015298,96,1.0345955843149568e-06
1584858862.9606645,97,1.0338544598198496e-06
1584858905.4025173,98,1.0325293260393664e-06
1584858952.163175,99,1.0317783107893774e-06
1584858982.1702216,100,1.0309120170859387e-06
